== Nodes = 16
== Processes = 2048

# OSU MPI Allgather Latency Test v5.9
# Size       Avg Latency(us)
1                      32.82
2                      39.31
4                      54.07
8                      77.30
16                    118.61
32                    277.84
64                    524.37
128                   980.76
256                  1664.82
512                  3113.14
1024                 6061.26
2048                11611.84
4096                22134.89
8192                17072.71
16384               34286.34
32768               67531.20
65536              137091.59
131072             276563.50
262144             551350.48
