== Nodes = 2
== Processes = 256

# OSU MPI Allgatherv Latency Test v5.9
# Size       Avg Latency(us)
1                      17.20
2                      21.85
4                      23.28
8                      24.80
16                     27.92
32                     54.17
64                     75.68
128                   110.09
256                   233.64
512                   425.88
1024                  817.60
2048                  355.82
4096                  578.94
8192                 2073.53
16384                3910.99
32768                7793.83
65536               15814.57
131072              32091.14
262144              63811.73
524288             127524.90
1048576            255347.78
