== Nodes = 128
== Processes = 16384

# OSU MPI Allreduce Latency Test v5.9
# Size       Avg Latency(us)
4                      27.72
8                      26.87
16                     30.49
32                     32.20
64                     32.21
128                    35.27
256                    42.03
512                   105.21
1024                  114.25
2048                  198.52
4096                  305.03
8192                  510.83
16384                 952.47
32768                1833.67
65536                 300.17
131072                401.09
262144                655.91
524288               1160.68
1048576              2558.82
