== Nodes = 1
== Processes = 128

# OSU MPI All-to-All Personalized Exchange Latency Test v5.9
# Size       Avg Latency(us)
1                      27.39
2                      27.68
4                      28.16
8                      30.25
16                     33.39
32                     42.77
64                     66.98
128                   132.10
256                   267.33
512                   487.73
1024                  386.95
2048                  553.03
4096                 1240.98
8192                 1663.35
16384                2851.83
32768                4611.39
65536               11870.41
131072              23331.51
262144              46388.12
524288              92228.39
1048576            183815.97
