== Nodes = 128
== Processes = 16384

# OSU MPI All-to-Allv Personalized Exchange Latency Test v5.9
# Size       Avg Latency(us)
1                  209532.70
2                  199178.86
4                  201579.27
8                  201816.87
16                 213726.77
32                 208811.70
64                 209082.64
128                218487.04
256                209136.72
512                217528.66
1024               234909.32
2048               337609.28
4096               614200.25
8192               934189.50
16384             1764591.14
32768             3536925.56
