== Nodes = 64
== Processes = 8192

# OSU MPI Allgather Latency Test v5.9
# Size       Avg Latency(us)
1                     163.78
2                     172.59
4                     203.13
8                     337.75
16                    530.13
32                    893.66
64                   1616.92
128                  3030.05
256                  5832.44
512                 12454.70
1024                27156.86
2048                49475.66
4096                92098.16
8192               113091.35
16384              144201.10
32768              282332.25
65536              579985.87
