== Nodes = 16
== Processes = 2048

# OSU MPI Allgatherv Latency Test v5.9
# Size       Avg Latency(us)
1                     107.60
2                     122.75
4                     135.87
8                     203.02
16                    292.51
32                    391.37
64                    560.75
128                   823.37
256                  1403.05
512                  2473.90
1024                 4605.87
2048                10804.28
4096                23370.26
8192                22415.03
16384               35587.97
32768               69834.51
65536              143374.26
131072             284274.58
262144             574696.59
