== Nodes = 4
== Processes = 512

# OSU MPI Allreduce Latency Test v5.9
# Size       Avg Latency(us)
4                      14.80
8                       9.67
16                     21.14
32                      9.75
64                     10.22
128                    20.03
256                    18.29
512                    21.00
1024                   34.22
2048                   58.85
4096                   36.92
8192                   42.01
16384                  59.03
32768                  76.04
65536                 105.67
131072                190.80
262144                353.78
524288                646.48
1048576              1225.39
