== Nodes = 2
== Processes = 256

# OSU MPI All-to-All Personalized Exchange Latency Test v5.9
# Size       Avg Latency(us)
1                      55.07
2                      54.73
4                      56.97
8                      61.71
16                     82.37
32                    111.40
64                    183.28
128                   308.50
256                   596.17
512                  1221.45
1024                  976.75
2048                 2359.20
4096                 3636.38
8192                 6306.82
16384               11980.22
32768               24314.90
65536               48524.51
131072              97192.90
262144             197369.54
524288             401415.33
1048576            812200.85
