== Nodes = 32
== Processes = 4096

# OSU MPI All-to-Allv Personalized Exchange Latency Test v5.9
# Size       Avg Latency(us)
1                   24463.66
2                   43359.82
4                   44310.23
8                   21975.88
16                  35844.39
32                  25338.26
64                  22639.55
128                 26149.59
256                 30151.36
512                 32670.59
1024                39756.75
2048                61674.96
4096               127736.46
8192               206390.21
16384              384402.17
32768              773993.44
65536             1643807.58
131072            3401310.17
